窈窕紅豆湯,效用: 清肺利肝、去溼助代謝脂肪。,NULL,NULL,材料: 桑白皮3錢、茵陳蒿3錢、淮山3錢、甘草1.5錢、紅豆50克、水1公升,作法:@ 1. 將紅豆洗淨，泡水兩小時；將中藥材放入布袋中。@2. 取一鍋，放入做法1. 材料和水，以大火煮開，轉小火續煮20〜40分，豆熟後即可食用。,湯劑,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
咖哩麵,效用: 行氣活血、養脾散瘀。,NULL,NULL,材料: 薑黃3錢、桑枝5錢、油麵1斤、芹菜1/2株、洋蔥絲1顆、瘦肉絲100克、鹽少許、咖哩塊4小塊、白菜適量、乾香菇數朵、蝦米適量,作法: @1. 取一鍋，放入中藥材，加入水300毫升，煮約30分鐘濾渣備用。@2. 芹菜取一半切段，一半切末；蝦米泡軟；香菇泡軟切絲；白菜洗淨切長段備用。@3. 起油鍋，爆香洋蔥絲，並將芹菜段、肉絲、蝦米、香菇絲炒熟，再加入口菜拌炒。@4. 於做法3. 中加入咖哩塊、做法1.中藥汁炒勻後，並加鹽調味，隨後將麵條加入拌匀，蓋上鍋蓋燜煮片刻，至湯汁漸乾，起鍋前再放入芹菜末拌炒均匀即可。,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
健脾消脂飲,效用:活血消脂、健脾祛溼。丹參活血祛瘀通絡；荷葉清熱利溼、散瘀消脂；桑葉清血消腫；茯苓健脾利溼。,NULL,注意: 感冒、月經期間、腹瀉者不宜。,材料: 丹參2錢、荷葉2錢、桑葉2錢、茯苓3錢、水1公升〜1.5公升,作法: @1. 將中藥材洗淨，和水放入鍋中滾煮。@2. 濃淡可依個人口味調整。,飲品,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
地瓜糙米粥,效用: 地瓜本身含有蛋白質、脂肪、醣類、纖維素以及多種微量元素，對女性的安神與調節身體荷爾蒙有幫助。糙米能夠增加脾的功能，養脾健胃。,NULL,NULL,材料: 糙米80克、地瓜200克、水1公升、鹽少許,作法: @1. 糙米洗淨後，泡水4個小時備用；地瓜去皮切小塊備用。@2. 將做法1. 和水放進電鍋內鍋，外鍋加1杯水蒸煮即可。最後再加鹽調味。,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
山藥芝麻豆漿,效用:山藥可促進荷爾蒙的合成，有豐胸效果，此養生方富含鐵、維生素E、蛋白質、大豆異黃酮等，女性多喝可健脾養胃，補虛潤燥。,NULL,NULL,材料: 山藥100克、無糖豆漿250毫升、黑芝麻粉20克、蜂蜜少許,作法: 將山藥去皮切塊，和豆漿及黑芝麻粉一同放入果汁機中攪打。最後加入蜂蜜調味即可飲用。,飲品,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
黃瓜絲粉條,效用: 健脾養胃，清熱降脂,NULL,NULL,材料: 乾粉條100克、小黃瓜1個、蛋1顆、胡蘿蔔1/4個、鹽、醋、麻油適量,作法: @1. 粉條以熱水煮熟後撈起備用；小黃瓜切絲，胡蘿蔔去皮切絲，蛋煎成蛋皮後切絲。@2. 將做法1.材料拌匀，加上其餘調味料，依個人口味調整，但以清淡為主。,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
白蘿蔔排骨湯,效用: 白蘿蔔能促進脂肪代謝，避免過 多脂肪屯積，還能達到滋陰潤肺、養脾益氣之功效。 ,NULL,NULL,材料: 白蘿蔔1條、豬排骨250克、薑少許,作法: @1. 白蘿蔔切塊備用；先以熱水永燙排骨。@ 2. 將排骨及白蘿蔔塊一起放進水中熬煮，再加入薑片及鹽調味即可。,湯劑,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
紅糖山楂茶,效用: 山楂能活血散瘀、促進腸胃消化，健脾消積，有益於減肥。紅糖性溫、味甘、入脾，具有益氣補血、健脾暖胃、緩解疼痛、活血化瘀的功效。,NULL,NULL,材料: 山楂10顆、紅糖適量,作法:@ 1. 山楂洗淨，去核仁打碎，放入水中 滾煮。@ 2. 起鍋後加入紅糖調味，可依個人 口味調整甜度。,飲品,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
草本糯米粥,效用: 黃耆補中益氣，當歸補血，白芍止痛，澤蘭活血去瘀，能達到益氣養血，活血調經之功效。從生理期來的前一週，到結束前都可食用。能夠舒緩經前症候群的不適症狀。,NULL,NULL,材料: 黃耆3錢、當歸3錢、白芍3錢、澤蘭3錢、 糯米100克、黑糖5克、水適量,作法:@ 1. 將糯米浸水兩小時。@ 2. 中藥材加水煮15分鐘後，濾去藥渣，加入做法1. 糯米熬成粥，最後加入黑糖調味即可。,藥膳,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
銀耳枸杞湯,效用: 健脾補血，補肝明目，美容養顏。,注意: 腹瀉者不宜食用。,NULL,材料: 白木耳20克、枸杞3錢、冰糖、水1公升,作法: @1. 白木耳泡開備用。@ 2. 將白木耳及枸杞一起加入水中煮沸，轉小火熬煮，時間依個人習慣口感，喜吃軟者多煮30分鐘，喜吃具彈性者，10分鐘即可。@ 3. 起鍋前加入冰糖調味，甜度依個人口味調整。,湯劑,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
玉米鬚黃耆茶,效用: 益氣利水、調降血糖，補脾順氣。,NULL,NULL,材料: 玉米鬚1兩、黃耆5錢、水1公升                   備註: 玉米鬚可在中藥行購得，但若能使用新鮮玉米鬚，效果更佳。,作法: 將材料放進鍋內煮沸後，再以小火熬煮30分鐘，即可飲用。,飲品,0,0,資料來源:  《吳明珠教你養好脾，35歲就像25歲：老得慢、瘦得快、祛斑除皺，女人病統統都掰掰！》作者:  吳明珠,END
玫瑰解悶茶,效用: 玫瑰有緩和情緒、補血氣、美顏護膚的功效，並且能夠條理肝，消除疲勞、改善體質。紅棗性暖，能保護肝臟、增強免疫力。此飲數種材料相互搭配，解悶消鬱、行氣活血，是排毒養顏的好茶飲 。,NULL,NULL,材料: 攻塊花5克、綠茶茶葉5克、紅棗5顆、枸杞10顆,作法:@ 1. 將所有材料洗淨，加入2000cc的水煮沸即可。@ 2. 可視個人口味調整材料份量及水量。 ,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
荷葉山楂去油茶,效用: 山楂具有降脂去油作用，能幫助肝醣代謝。較胖的婦女通常伴隨有脂肪肝的問題，常飲此茶方，幫助消除體內脂肪，增進新陳代謝。,注意: 孕婦禁服。,NULL,材料: 荷葉10克、山楂20克、冰糖少許、水2000CC,作法: @1. 將荷葉和山楂洗淨後加入水中煮沸。@2. 最後加入冰糖調味。,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
牛蒡煨烏骨雞湯,效用: 烏骨雞是食療最佳的肉類，具有豐富的蛋白質，卻沒有脂肪的負擔。可以補肝腎氣，健脾益氣，滋陰補陽。牛蒡營養豐富，可和人蔘媲美，研究顯示有降血糖、降血脂、降血壓、補腎壯陽、潤腸通便等作用，是非常理想的天然保健食品。烏骨雞宜用文火陶甕慢燉，原汁原味，僅以少許鹽提味，有助營養吸收，少調味可降低肝腎負擔。,NULL,NULL,材料: 烏骨雞一隻（300克）、牛蒡一支（請依雞隻大小調整）、水5000CC、鹽少許,作法: @1. 將烏骨雞洗淨、牛蒡洗淨去皮，切薄片。@2. 將作法1.材料放進陶甕，加水淹過食材，慢火燉煨。@3. 煨湯作法可保留食材的養分，避免過度燉煮後養分被破壞。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
桂圓蓮子薏仁粥,效用: 薏仁補脾健胃，補中益氣，但孕婦不宜。桂圓性甘溫，可養血調經，對氣血不足的女性有益。經常吃可健脾益氣，去溼氣，養心寧神，讓肝氣順暢。,NULL,NULL,材料: 白米100公克、薏仁50公克、桂圓肉30公克、蓮子30公克、紅糖少許,作法: @1. 將白米、薏仁、桂圓肉、蓮子洗淨，放入鍋中，水量可依個人口味濃淡增減。@2. 以慢火熬煮，亦可放置電鍋內燉煮。@3. 最後依個人口味加入紅糖調味。,藥膳,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
健脾祛溼養肝茶,效用: 健脾祛溼，養肝通便解毒。,NULL,NULL,材料: 黄耆2錢、葛根2錢、茯苓3錢、決明子2錢、枸杞5錢、玫瑰花2錢、菊花2錢。,作法: 將所有材料洗淨，加水2000cc，煮30分鐘後當茶飲用。,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
當歸雞湯,效用: 補血養肝，強健體魄。,NULL,NULL,材料: 烏骨雞半隻、當歸10公克、黨參10公克，米酒、鹽適量。,作法: 先將烏骨雞汆燙，將當歸、黨參放入鍋中，放入適量的水，燉煮至雞肉鬆軟，加入米酒及鹽即可。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
桂枝柴胡湯(依體質加減處方),效用: 古醫書上記載，用來針對慢性肝炎。為感覺身體發熱、口乾、食慾不佳、忽冷忽熱，可消炎。柴胡、桂枝可提高肝臓機能，芍藥則有解熱鎮痛之效。,NULL,服用方式: 早晚溫服一碗。,材料: 柴胡3錢、桂枝(去皮)3錢、黃苓3錢、人蔘1.5錢、甘草(炙)1.5錢、半夏3錢(洗，二合半)、芍藥1.5錢、大棗6顆、生薑3錢。,作法: 上九味，以水五碗，煮取二碗，去渣。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
柴胡甘草湯(依體質加減處方),效用: 疏肝解鬱，清熱解毒，改善肝功能。,NULL,服用方式: 早晚當水喝。,材料: 柴胡、蒼朮、杭白芍藥、川穹、甘草、枳殼、香附、青皮、厚朴。上述材料各約10克。,作法: 放入約1公升的水熬煮。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
消腫養肝茶,效用: 活血袪瘀，散結消腫。,NULL,NULL,材料: 夏枯草、黨參、枸杞、石斛、七葉膽葉各10克。,作法: 將所有材料加入約1公升的水中，加熱煮開後，當水喝。,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
綠豆水,效用: 排毒去火，清肝明目。,NULL,NULL,材料: 綠豆1小把，水500毫升。,作法: @1. 將綠豆洗淨，加水煮滾後關火。@2. 加蓋燜至少半小時，待水冷卻即可飲用。,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
枸杞山藥鱈魚飯,效用: 1. 養肝明目，益氣醒脾養陰。2. 枸杞有寳樹、藥樹之稱，據「神農本草經」指出，枸杞久服輕身不老，耐寒暑，具有養肝明目，補腎益精，潤肺止咳，提高免疫力之效果。,NULL,NULL,材料: 鱈魚200克、薑絲10克、蔥段少許、胚芽米70克、醬油1小匙、香油1小匙。       中藥材：茯苓3錢、枸杞5錢、紅棗5顆、扁豆2錢、山藥5錢、芡實3錢、菟絲子3錢、杜仲3錢、小茴香2錢。,作法:@ 1. 胚芽米淘洗乾淨，浸泡兩小時，瀝乾水分，鋪平在盤底。@2. 中藥材洗淨後，鋪在胚芽米上，再放上鱈魚、薑絲、蔥段，置電鍋蒸熟後，淋上醬油、香油即可。,藥膳,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
養肝銀耳湯,效用: 疏肝解鬱、補氣養肝。,NULL,NULL,材料: 東洋蔘3錢、麥門冬2錢、黃精2錢、黃耆2錢、枸杞3錢、紅棗6顆、白木耳10克、冰糖少許。,作法:@ 1. 白木耳洗淨泡發，備用。@2. 中藥材沖洗乾淨後，加5碗水用大火煮滾。@3. 放入泡發的白木耳，轉小火煮10分鍾，最後加入冰糖調味即可。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
菊花枸杞養肝茶,效用: 菊花具有疏風清熱，明目效果，或加入淮山、茯苓。枸杞具養肝明目，稱腎益精的功效，能潤肺止咳，提高免疫力。,注意: 體質虚寒及腹瀉者不可飲用。,NULL,材料: 乾菊花1.5錢，枸杞3錢。,作法: 材料放進杯中後，沖入熱水即可，可視個人口味調整茶飲濃度。,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
玫瑰橘絡茶,效用: 1. 玫塊花可觀賞，還能入藥，尤其對疏肝解鬱效果極佳，平時可以泡成茶飲，也能做成糕點。2. 橘絡:橘子剝皮後，表皮上的白色經絡絲，也可於中藥行購得乾燥後的橘絡，顔色為深褐色。橘絡能理氣化痰、活血，也有預防中風之效，適合高血壓患者飲用。,注意: 孕婦與生理期時不可飲用。,NULL,材料: 玫瑰花1.5錢、橘絡1.5錢、紅茶5克,作法: 將所有材料一起放入杯中，倒入滾水泡開，即可飲用。,飲品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
紅棗山藥排骨湯,效用: 1. 山藥具有補肺、脾、腎三臟，調肝氣之功效。茵陳能清肝利膽。菊花可清熱平肝。2. 紅棗及枸杞皆能養肝補血，讓肝氣順暢，調經養血。,NULL,NULL,材料: 茵陳3錢、菊花1.5錢、紅棗10頼、山藥300公克、排骨300公克、枸杞、鹽少許,作法: @1. 排骨洗淨汆燙，山藥去皮切塊，備用。@2. 所有材料放進鍋中，加水至淹過食材，燉煮到山藥軟爛，最後加入鹽調味。,湯品,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
菠菜豬血湯,效用: 具有補肝益氣，補血養心，疏肝理氣之功效。,NULL,NULL,材料: 菠菜200克、豬血100克、薑絲5克、鹽少許,作法: @1. 菠菜洗淨切小段。@2. 豬血切成小塊，用熱水汆燙備用。@3. 將水加入鍋中，並將薑絲放入後，再放入豬血。@4. 水滾沸後，加入鹽提味，最後再加入菠菜，水滾即可關火。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
當歸羊肉湯,效用: 羊肉屬溫補，加上當歸養血，黃耆補氣調衞，對於體虛貧血者是一道不錯的藥膳。,適用對象: 虛寒型生理期不順的女子。,NULL,材料: 當歸5克、羊肉500克、黃耆5克、薑絲少許、鹽少許,作法: @1. 羊肉洗淨切塊，汆燙備用。@2. 將所有食材放入鍋中加水，燉湯。@3. 待羊肉都軟爛後，再加入鹽調味。,湯劑,0,0,資料來源:  《吳明珠教你養好肝 痠.抽.痛.麻都掰掰!過敏.脂肪肝.眼睛乾澀.口臭.躁鬱.不性福...統統有解!》作者:  吳明珠,END
